"EXPLORE TRANSPORT INC","1/27/2016","1","Tractor Movement Report","01/01/2015 to 12/31/2015","Specific Tractor: 175","Tractor Id","Ship Date","Delivery Date","Trip Number","Driver 1Id","Miles","Origin","Destination","175","03/23/2015   3:00 pm","03/24/2015   8:00 am","49238","PETE-BARR","599.00","HOLLAND, OH","BALTIMORE, MD","       Grand Total:","104970.00"
"EXPLORE TRANSPORT INC","1/27/2016","1","Tractor Movement Report","01/01/2015 to 12/31/2015","Specific Tractor: 175","Tractor Id","Ship Date","Delivery Date","Trip Number","Driver 1Id","Miles","Origin","Destination","175","03/24/2015   3:00 pm","03/25/2015   8:00 am","49267","PETE-BARR","363.00","BALTIMORE, MD","SCOTIA, NY","       Grand Total:","104970.00"
"EXPLORE TRANSPORT INC","1/27/2016","1","Tractor Movement Report","01/01/2015 to 12/31/2015","Specific Tractor: 175","Tractor Id","Ship Date","Delivery Date","Trip Number","Driver 1Id","Miles","Origin","Destination","175","03/25/2015   3:00 pm","03/27/2015   8:00 am","49369","PETE-BARR","810.00","JOHNSTOWN, NY","MCCOOK, IL","       Grand Total:","104970.00"
"EXPLORE TRANSPORT INC","1/27/2016","1","Tractor Movement Report","01/01/2015 to 12/31/2015","Specific Tractor: 175","Tractor Id","Ship Date","Delivery Date","Trip Number","Driver 1Id","Miles","Origin","Destination","175","04/29/2015   3:00 pm","05/01/2015   8:00 am","50497","WILL-ANDE","930.00","ROMEOVILLE, IL","WINDSOR, VA","       Grand Total:","104970.00"
"EXPLORE TRANSPORT INC","1/27/2016","1","Tractor Movement Report","01/01/2015 to 12/31/2015","Specific Tractor: 175","Tractor Id","Ship Date","Delivery Date","Trip Number","Driver 1Id","Miles","Origin","Destination","175","05/01/2015   3:00 pm","05/04/2015   8:00 am","50520","WILL-ANDE","950.00","CHESAPEAKE, VA","GRANITE CITY, IL","       Grand Total:","104970.00"
"EXPLORE TRANSPORT INC","1/27/2016","1","Tractor Movement Report","01/01/2015 to 12/31/2015","Specific Tractor: 175","Tractor Id","Ship Date","Delivery Date","Trip Number","Driver 1Id","Miles","Origin","Destination","175","05/04/2015   3:00 pm","05/05/2015   8:00 am","50663","WILL-ANDE","432.00","WRIGHT CITY, MO","SALINA, KS","       Grand Total:","104970.00"
"EXPLORE TRANSPORT INC","1/27/2016","1","Tractor Movement Report","01/01/2015 to 12/31/2015","Specific Tractor: 175","Tractor Id","Ship Date","Delivery Date","Trip Number","Driver 1Id","Miles","Origin","Destination","175","05/05/2015   3:00 pm","05/07/2015   8:00 am","50676","WILL-ANDE","939.00","SALINA, KS","TRUSSVILLE, AL","       Grand Total:","104970.00"
"EXPLORE TRANSPORT INC","1/27/2016","1","Tractor Movement Report","01/01/2015 to 12/31/2015","Specific Tractor: 175","Tractor Id","Ship Date","Delivery Date","Trip Number","Driver 1Id","Miles","Origin","Destination","175","05/07/2015   3:00 pm","05/08/2015   8:00 am","50756","WILL-ANDE","886.00","MONTGOMERY, AL","NORTON, OH","       Grand Total:","104970.00"
"EXPLORE TRANSPORT INC","1/27/2016","1","Tractor Movement Report","01/01/2015 to 12/31/2015","Specific Tractor: 175","Tractor Id","Ship Date","Delivery Date","Trip Number","Driver 1Id","Miles","Origin","Destination","175","05/11/2015   3:00 pm","05/13/2015  10:00 am","50994","WILL-ANDE","1658.00","COLUMBUS, OH","COLUMBUS, OH","       Grand Total:","104970.00"
"EXPLORE TRANSPORT INC","1/27/2016","1","Tractor Movement Report","01/01/2015 to 12/31/2015","Specific Tractor: 175","Tractor Id","Ship Date","Delivery Date","Trip Number","Driver 1Id","Miles","Origin","Destination","175","05/14/2015   3:00 pm","05/15/2015   8:00 am","50996","WILL-ANDE","621.00","MARYSVILLE, OH","TUCKER, GA","       Grand Total:","104970.00"
"EXPLORE TRANSPORT INC","1/27/2016","1","Tractor Movement Report","01/01/2015 to 12/31/2015","Specific Tractor: 175","Tractor Id","Ship Date","Delivery Date","Trip Number","Driver 1Id","Miles","Origin","Destination","175","05/15/2015   3:00 pm","05/18/2015   8:00 am","51046","WILL-ANDE","776.00","CONYERS, GA","MORRIS, IL","       Grand Total:","104970.00"
"EXPLORE TRANSPORT INC","1/27/2016","1","Tractor Movement Report","01/01/2015 to 12/31/2015","Specific Tractor: 175","Tractor Id","Ship Date","Delivery Date","Trip Number","Driver 1Id","Miles","Origin","Destination","175","05/18/2015   3:00 pm","05/19/2015   8:00 am","51104","WILL-ANDE","430.00","OTTAWA, IL","OAKWOOD VILLAGE, OH","       Grand Total:","104970.00"
"EXPLORE TRANSPORT INC","1/27/2016","1","Tractor Movement Report","01/01/2015 to 12/31/2015","Specific Tractor: 175","Tractor Id","Ship Date","Delivery Date","Trip Number","Driver 1Id","Miles","Origin","Destination","175","05/19/2015   3:00 pm","05/20/2015   8:00 am","51147","WILL-ANDE","1103.00","BEDFORD, OH","BROOKLYN, NY","       Grand Total:","104970.00"
"EXPLORE TRANSPORT INC","1/27/2016","1","Tractor Movement Report","01/01/2015 to 12/31/2015","Specific Tractor: 175","Tractor Id","Ship Date","Delivery Date","Trip Number","Driver 1Id","Miles","Origin","Destination","175","05/20/2015   3:00 pm","05/21/2015   8:00 am","51198","WILL-ANDE","576.00","NEWARK, NJ","TITUSVILLE, PA","       Grand Total:","104970.00"
"EXPLORE TRANSPORT INC","1/27/2016","1","Tractor Movement Report","01/01/2015 to 12/31/2015","Specific Tractor: 175","Tractor Id","Ship Date","Delivery Date","Trip Number","Driver 1Id","Miles","Origin","Destination","175","05/21/2015   3:00 pm","05/22/2015   8:00 am","51245","WILL-ANDE","654.00","ASHTABULA, OH","SUFFOLK, VA","       Grand Total:","104970.00"
"EXPLORE TRANSPORT INC","1/27/2016","1","Tractor Movement Report","01/01/2015 to 12/31/2015","Specific Tractor: 175","Tractor Id","Ship Date","Delivery Date","Trip Number","Driver 1Id","Miles","Origin","Destination","175","05/22/2015   3:00 pm","05/26/2015   8:00 am","51287","WILL-ANDE","858.00","NEW BERN, NC","DAVENPORT, FL","       Grand Total:","104970.00"
"EXPLORE TRANSPORT INC","1/27/2016","1","Tractor Movement Report","01/01/2015 to 12/31/2015","Specific Tractor: 175","Tractor Id","Ship Date","Delivery Date","Trip Number","Driver 1Id","Miles","Origin","Destination","175","06/01/2015   3:00 pm","06/03/2015   8:00 am","51512","WILL-ANDE","791.00","AUBURNDALE, FL","SALEM, VA","       Grand Total:","104970.00"
"EXPLORE TRANSPORT INC","1/27/2016","1","Tractor Movement Report","01/01/2015 to 12/31/2015","Specific Tractor: 175","Tractor Id","Ship Date","Delivery Date","Trip Number","Driver 1Id","Miles","Origin","Destination","175","06/02/2015   3:00 pm","06/04/2015   8:00 am","51597","WILL-ANDE","478.00","CLIFTON FORGE, VA","ELIZABETH, NJ","       Grand Total:","104970.00"
"EXPLORE TRANSPORT INC","1/27/2016","1","Tractor Movement Report","01/01/2015 to 12/31/2015","Specific Tractor: 175","Tractor Id","Ship Date","Delivery Date","Trip Number","Driver 1Id","Miles","Origin","Destination","175","06/04/2015   3:00 pm","06/05/2015   8:00 am","51617","WILL-ANDE","645.00","WALDWICK, NJ","BISCOE, NC","       Grand Total:","104970.00"
"EXPLORE TRANSPORT INC","1/27/2016","1","Tractor Movement Report","01/01/2015 to 12/31/2015","Specific Tractor: 175","Tractor Id","Ship Date","Delivery Date","Trip Number","Driver 1Id","Miles","Origin","Destination","175","06/05/2015   3:00 pm","06/08/2015   8:00 am","51672","WILL-ANDE","810.00","MOORESVILLE, NC","CAMILLUS, NY","       Grand Total:","104970.00"
"EXPLORE TRANSPORT INC","1/27/2016","1","Tractor Movement Report","01/01/2015 to 12/31/2015","Specific Tractor: 175","Tractor Id","Ship Date","Delivery Date","Trip Number","Driver 1Id","Miles","Origin","Destination","175","06/08/2015   3:00 pm","06/10/2015   8:00 am","51761","WILL-ANDE","968.00","ROCHESTER, NY","AUGUSTA, GA","       Grand Total:","104970.00"
"EXPLORE TRANSPORT INC","1/27/2016","1","Tractor Movement Report","01/01/2015 to 12/31/2015","Specific Tractor: 175","Tractor Id","Ship Date","Delivery Date","Trip Number","Driver 1Id","Miles","Origin","Destination","175","06/10/2015   3:00 pm","06/11/2015   8:00 am","51807","WILL-ANDE","410.00","AUGUSTA, GA","NASHVILLE, TN","       Grand Total:","104970.00"
"EXPLORE TRANSPORT INC","1/27/2016","1","Tractor Movement Report","01/01/2015 to 12/31/2015","Specific Tractor: 175","Tractor Id","Ship Date","Delivery Date","Trip Number","Driver 1Id","Miles","Origin","Destination","175","06/11/2015   3:00 pm","06/12/2015   8:00 am","51856","WILL-ANDE","763.00","SMYRNA, TN","YORK, PA","       Grand Total:","104970.00"
"EXPLORE TRANSPORT INC","1/27/2016","1","Tractor Movement Report","01/01/2015 to 12/31/2015","Specific Tractor: 175","Tractor Id","Ship Date","Delivery Date","Trip Number","Driver 1Id","Miles","Origin","Destination","175","06/12/2015   3:00 pm","06/15/2015   8:00 am","51890","WILL-ANDE","1026.00","MANHEIM, PA","WAVERLY, IA","       Grand Total:","104970.00"
"EXPLORE TRANSPORT INC","1/27/2016","1","Tractor Movement Report","01/01/2015 to 12/31/2015","Specific Tractor: 175","Tractor Id","Ship Date","Delivery Date","Trip Number","Driver 1Id","Miles","Origin","Destination","175","06/15/2015   3:00 pm","06/16/2015   8:00 am","51938","WILL-ANDE","459.00","CEDAR RAPIDS, IA","BROWNSBURG, IN","       Grand Total:","104970.00"
"EXPLORE TRANSPORT INC","1/27/2016","1","Tractor Movement Report","01/01/2015 to 12/31/2015","Specific Tractor: 175","Tractor Id","Ship Date","Delivery Date","Trip Number","Driver 1Id","Miles","Origin","Destination","175","06/17/2015   3:00 pm","06/18/2015   8:00 am","52025","WILL-ANDE","635.00","PLAINFIELD, IN","POTTSVILLE, PA","       Grand Total:","104970.00"
"EXPLORE TRANSPORT INC","1/27/2016","1","Tractor Movement Report","01/01/2015 to 12/31/2015","Specific Tractor: 175","Tractor Id","Ship Date","Delivery Date","Trip Number","Driver 1Id","Miles","Origin","Destination","175","06/18/2015   3:00 pm","06/19/2015   8:00 am","52082","WILL-ANDE","353.00","HOWARD, PA","SYRACUSE, NY","       Grand Total:","104970.00"
"EXPLORE TRANSPORT INC","1/27/2016","1","Tractor Movement Report","01/01/2015 to 12/31/2015","Specific Tractor: 175","Tractor Id","Ship Date","Delivery Date","Trip Number","Driver 1Id","Miles","Origin","Destination","175","06/19/2015   3:00 pm","06/22/2015   8:00 am","52126","WILL-ANDE","954.00","OSWEGO, NY","WAVERLY, TN","       Grand Total:","104970.00"
"EXPLORE TRANSPORT INC","1/27/2016","1","Tractor Movement Report","01/01/2015 to 12/31/2015","Specific Tractor: 175","Tractor Id","Ship Date","Delivery Date","Trip Number","Driver 1Id","Miles","Origin","Destination","175","06/22/2015   3:00 pm","06/23/2015   8:00 am","52231","WILL-ANDE","621.00","MADISON, TN","CHARLESTON, SC","       Grand Total:","104970.00"
"EXPLORE TRANSPORT INC","1/27/2016","1","Tractor Movement Report","01/01/2015 to 12/31/2015","Specific Tractor: 175","Tractor Id","Ship Date","Delivery Date","Trip Number","Driver 1Id","Miles","Origin","Destination","175","06/23/2015   3:00 pm","06/24/2015   8:00 am","52257","WILL-ANDE","551.00","SUMMERVILLE, SC","MOORE HAVEN, FL","       Grand Total:","104970.00"
"EXPLORE TRANSPORT INC","1/27/2016","1","Tractor Movement Report","01/01/2015 to 12/31/2015","Specific Tractor: 175","Tractor Id","Ship Date","Delivery Date","Trip Number","Driver 1Id","Miles","Origin","Destination","175","06/24/2015   3:00 pm","06/25/2015   8:00 am","52332","WILL-ANDE","431.00","LAKELAND, FL","ARABI, GA","       Grand Total:","104970.00"
"EXPLORE TRANSPORT INC","1/27/2016","1","Tractor Movement Report","01/01/2015 to 12/31/2015","Specific Tractor: 175","Tractor Id","Ship Date","Delivery Date","Trip Number","Driver 1Id","Miles","Origin","Destination","175","06/25/2015   3:00 pm","06/26/2015   8:00 am","52333","WILL-ANDE","628.00","ASHBURN, GA","EDENTON, NC","       Grand Total:","104970.00"
"EXPLORE TRANSPORT INC","1/27/2016","1","Tractor Movement Report","01/01/2015 to 12/31/2015","Specific Tractor: 175","Tractor Id","Ship Date","Delivery Date","Trip Number","Driver 1Id","Miles","Origin","Destination","175","06/27/2015   3:00 pm","06/29/2015   8:00 am","52335","WILL-ANDE","598.00","BENSON, NC","CORDELE, GA","       Grand Total:","104970.00"
"EXPLORE TRANSPORT INC","1/27/2016","1","Tractor Movement Report","01/01/2015 to 12/31/2015","Specific Tractor: 175","Tractor Id","Ship Date","Delivery Date","Trip Number","Driver 1Id","Miles","Origin","Destination","175","06/29/2015   3:00 pm","06/30/2015   8:00 am","52434","WILL-ANDE","336.00","FITZGERALD, GA","ORLANDO, FL","       Grand Total:","104970.00"
"EXPLORE TRANSPORT INC","1/27/2016","1","Tractor Movement Report","01/01/2015 to 12/31/2015","Specific Tractor: 175","Tractor Id","Ship Date","Delivery Date","Trip Number","Driver 1Id","Miles","Origin","Destination","175","07/08/2015   3:00 pm","07/09/2015   8:00 am","52641","WILL-ANDE","527.00","JACKSONVILLE, FL","MONTGOMERY, AL","       Grand Total:","104970.00"
"EXPLORE TRANSPORT INC","1/27/2016","1","Tractor Movement Report","01/01/2015 to 12/31/2015","Specific Tractor: 175","Tractor Id","Ship Date","Delivery Date","Trip Number","Driver 1Id","Miles","Origin","Destination","175","07/20/2015   3:00 pm","07/21/2015   8:00 am","52886","WILL-ANDE","727.00","VALDOSTA, GA","LINWOOD, NC","       Grand Total:","104970.00"
"EXPLORE TRANSPORT INC","1/27/2016","1","Tractor Movement Report","01/01/2015 to 12/31/2015","Specific Tractor: 175","Tractor Id","Ship Date","Delivery Date","Trip Number","Driver 1Id","Miles","Origin","Destination","175","07/21/2015   3:00 pm","07/22/2015   8:00 am","52949","WILL-ANDE","712.00","LEXINGTON, NC","BLOOMFIELD, CT","       Grand Total:","104970.00"
